parameter,human_mnl,ai_mnl_no_purchase_sample,difference_ai_minus_human
intercept,-2.79497265,-15.138309123726886,-12.343336473726886
prop_starrating,0.47262211,1.124294829809275,0.651672719809275
prop_review_score,0.12088569,2.692326633057152,2.571440943057152
prop_brand_bool,0.23615187,1.0389509690356533,0.8027990990356533
prop_location_score,0.01627033,0.7154862415799144,0.6992159115799144
prop_accesibility_score,0.36831162,1.1375688123199061,0.7692571923199061
prop_log_historical_price,-0.0364242,-0.08886896959855083,-0.05244476959855083
price_usd,-0.00738795,-0.03524829586671308,-0.02786034586671308
promotion_flag,0.44597667,1.3257243805662342,0.8797477105662341
